               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 156,            0.026631,            0.029584,           0.0058058,               0.896,             0.87071,             0.92489,             0.61428,            0.026023,            0.016946,           0.0020298,           0.0023275,           0.0023275,           0.0023275
                 157,            0.026769,            0.029174,           0.0061594,             0.89604,             0.87191,             0.92492,             0.61532,            0.026012,            0.016939,           0.0020209,            0.002278,            0.002278,            0.002278
                 158,            0.026592,             0.02968,           0.0056337,             0.89969,             0.86891,             0.92453,              0.6159,            0.025998,            0.016926,           0.0020149,           0.0022285,           0.0022285,           0.0022285
                 159,             0.02674,             0.02975,           0.0054359,             0.89941,             0.87056,              0.9254,             0.61651,            0.025976,            0.016918,           0.0020159,            0.002179,            0.002179,            0.002179
                 160,            0.026264,            0.028878,            0.005768,             0.89941,             0.87205,             0.92515,             0.61751,            0.025953,            0.016906,            0.002013,           0.0021295,           0.0021295,           0.0021295
                 161,             0.02635,            0.029832,           0.0054611,             0.89504,             0.87448,             0.92565,             0.61737,             0.02594,            0.016899,            0.002007,             0.00208,             0.00208,             0.00208
                 162,            0.026283,            0.029175,           0.0060118,             0.90184,              0.8699,              0.9252,             0.61792,            0.025918,            0.016895,           0.0019979,           0.0020305,           0.0020305,           0.0020305
                 163,            0.026174,            0.028875,           0.0054963,             0.90125,             0.87209,             0.92593,             0.61825,            0.025904,            0.016878,           0.0019952,            0.001981,            0.001981,            0.001981
                 164,            0.026201,            0.029448,           0.0055184,             0.90199,             0.87215,             0.92616,              0.6189,            0.025887,             0.01687,           0.0019943,           0.0019315,           0.0019315,           0.0019315
                 165,            0.026029,            0.028762,           0.0051991,             0.90206,             0.87416,             0.92608,             0.61922,            0.025864,            0.016863,            0.001985,            0.001882,            0.001882,            0.001882
                 166,             0.02611,            0.029476,           0.0051144,             0.90198,             0.87307,             0.92612,             0.61935,             0.02585,            0.016851,             0.00199,           0.0018325,           0.0018325,           0.0018325
                 167,            0.025986,             0.02918,           0.0052467,             0.90266,             0.87379,             0.92646,             0.62048,            0.025837,            0.016845,           0.0019831,            0.001783,            0.001783,            0.001783
                 168,            0.025682,            0.028545,           0.0050728,             0.90106,             0.87491,             0.92652,              0.6215,            0.025833,            0.016837,           0.0019781,           0.0017335,           0.0017335,           0.0017335
                 169,            0.025744,            0.028665,           0.0052584,             0.90135,             0.87476,             0.92784,             0.62214,            0.025823,             0.01683,            0.001978,            0.001684,            0.001684,            0.001684
                 170,            0.025518,             0.02843,           0.0050327,             0.90106,             0.87505,             0.92783,             0.62242,            0.025808,            0.016825,           0.0019698,           0.0016345,           0.0016345,           0.0016345
                 171,            0.025775,             0.02833,           0.0050354,             0.90047,             0.87561,             0.92762,             0.62313,            0.025796,            0.016818,           0.0019727,            0.001585,            0.001585,            0.001585
                 172,            0.025371,            0.028029,           0.0049616,             0.90199,             0.87389,              0.9276,             0.62346,             0.02578,            0.016813,           0.0019691,           0.0015355,           0.0015355,           0.0015355
                 173,            0.025419,            0.028222,           0.0052013,             0.90186,             0.87438,             0.92725,             0.62369,            0.025776,            0.016813,           0.0019699,            0.001486,            0.001486,            0.001486
                 174,            0.025734,            0.028626,           0.0049474,             0.90116,             0.87471,             0.92699,             0.62427,            0.025758,            0.016811,           0.0019694,           0.0014365,           0.0014365,           0.0014365
                 175,            0.025262,            0.028113,           0.0046436,             0.90424,             0.87304,             0.92757,             0.62475,            0.025734,            0.016808,           0.0019656,            0.001387,            0.001387,            0.001387
                 176,            0.025298,            0.028458,           0.0048755,             0.90551,              0.8733,             0.92824,             0.62563,             0.02571,            0.016807,           0.0019618,           0.0013375,           0.0013375,           0.0013375
                 177,            0.025218,            0.028116,           0.0047642,             0.90685,             0.87263,              0.9281,             0.62595,            0.025694,            0.016804,           0.0019604,            0.001288,            0.001288,            0.001288
                 178,            0.024922,            0.028106,           0.0046861,             0.90439,             0.87431,             0.92815,             0.62642,            0.025677,            0.016802,            0.001957,           0.0012385,           0.0012385,           0.0012385
                 179,            0.024948,            0.027556,            0.004373,             0.90603,             0.87436,             0.92834,             0.62731,            0.025666,            0.016798,           0.0019556,            0.001189,            0.001189,            0.001189
                 180,            0.025044,            0.028425,            0.004648,             0.90579,             0.87547,             0.92877,             0.62758,            0.025652,            0.016792,           0.0019495,           0.0011395,           0.0011395,           0.0011395
                 181,            0.024738,            0.028063,           0.0041482,             0.90585,             0.87609,             0.92915,             0.62773,            0.025633,            0.016788,           0.0019458,             0.00109,             0.00109,             0.00109
                 182,            0.024757,            0.028027,           0.0043537,             0.90676,             0.87705,             0.92901,             0.62769,             0.02562,            0.016786,             0.00194,           0.0010405,           0.0010405,           0.0010405
                 183,            0.024723,            0.027707,           0.0045822,             0.90679,             0.87637,             0.92951,             0.62802,            0.025612,            0.016784,           0.0019372,            0.000991,            0.000991,            0.000991
                 184,            0.024574,            0.027822,           0.0043092,             0.90617,             0.87871,             0.92949,             0.62838,            0.025599,            0.016784,           0.0019342,           0.0009415,           0.0009415,           0.0009415
                 185,            0.024566,            0.027785,           0.0043816,             0.90655,             0.87854,             0.92967,             0.62854,            0.025588,            0.016783,           0.0019287,            0.000892,            0.000892,            0.000892
                 186,            0.024747,            0.028159,           0.0042553,             0.90734,             0.87864,             0.92992,             0.62929,            0.025578,            0.016782,           0.0019251,           0.0008425,           0.0008425,           0.0008425
                 187,            0.024413,            0.027676,           0.0044991,             0.90818,             0.87868,             0.93022,             0.62957,             0.02557,             0.01678,           0.0019203,            0.000793,            0.000793,            0.000793
                 188,            0.024423,            0.027587,           0.0045473,             0.90752,             0.87887,             0.93041,             0.62986,            0.025561,            0.016778,           0.0019168,           0.0007435,           0.0007435,           0.0007435
                 189,            0.024291,            0.027516,           0.0040943,             0.90731,             0.87912,             0.93065,             0.63026,            0.025549,            0.016776,           0.0019175,            0.000694,            0.000694,            0.000694
                 190,            0.024201,            0.027331,           0.0041408,             0.90673,             0.87906,             0.93068,             0.63006,            0.025539,            0.016774,           0.0019161,           0.0006445,           0.0006445,           0.0006445
                 191,            0.024219,            0.027376,           0.0040568,             0.90767,              0.8792,              0.9309,             0.63038,            0.025529,            0.016772,           0.0019159,            0.000595,            0.000595,            0.000595
                 192,            0.024111,            0.027517,           0.0043827,              0.9092,             0.87831,             0.93077,             0.63057,            0.025521,            0.016771,           0.0019139,           0.0005455,           0.0005455,           0.0005455
                 193,            0.024037,             0.02706,           0.0043785,             0.90912,             0.87909,             0.93094,             0.63069,            0.025511,             0.01677,           0.0019141,            0.000496,            0.000496,            0.000496
                 194,            0.023992,            0.026801,           0.0042585,             0.90979,             0.87872,             0.93108,             0.63116,            0.025502,            0.016768,           0.0019139,           0.0004465,           0.0004465,           0.0004465
                 195,            0.023931,            0.027156,           0.0038606,              0.9088,             0.88149,             0.93125,             0.63134,            0.025494,            0.016766,            0.001915,            0.000397,            0.000397,            0.000397
                 196,            0.023839,             0.02645,            0.003939,             0.90844,             0.88205,             0.93156,             0.63172,            0.025488,            0.016764,           0.0019167,           0.0003475,           0.0003475,           0.0003475
                 197,            0.023978,            0.027171,           0.0039718,             0.90852,             0.88086,             0.93147,             0.63193,            0.025485,            0.016765,            0.001917,            0.000298,            0.000298,            0.000298
                 198,             0.02395,            0.027103,           0.0039373,             0.91118,             0.87923,             0.93185,             0.63224,            0.025479,            0.016764,           0.0019176,           0.0002485,           0.0002485,           0.0002485
                 199,            0.023591,            0.026855,           0.0036712,             0.90854,             0.88129,             0.93192,             0.63252,            0.025477,            0.016765,           0.0019191,            0.000199,            0.000199,            0.000199
