               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.036918,            0.040797,            0.019845,             0.71187,             0.65976,             0.72662,             0.41065,            0.032224,            0.020756,           0.0091982,           0.0082675,           0.0082675,           0.0082675
                  37,             0.03649,            0.039822,            0.019328,             0.69593,             0.68345,             0.72232,             0.41308,            0.032121,            0.021018,           0.0091603,            0.008218,            0.008218,            0.008218
                  38,            0.036645,            0.039374,            0.019028,             0.74805,             0.66882,              0.7426,             0.43185,            0.031746,            0.020462,           0.0080423,           0.0081685,           0.0081685,           0.0081685
                  39,            0.036459,            0.039154,            0.019357,               0.732,             0.67851,             0.74271,             0.43149,            0.031877,            0.020504,           0.0093864,            0.008119,            0.008119,            0.008119
                  40,            0.035865,             0.03905,            0.019204,             0.73919,             0.67113,             0.74442,               0.432,            0.031899,            0.020473,           0.0085352,           0.0080695,           0.0080695,           0.0080695
                  41,            0.035611,            0.038868,            0.018343,             0.73151,             0.67997,             0.74565,             0.43217,            0.031962,            0.020418,            0.008063,             0.00802,             0.00802,             0.00802
                  42,            0.035704,            0.039045,            0.018913,             0.73115,             0.70635,             0.75835,             0.43762,            0.031568,            0.020245,           0.0077736,           0.0079705,           0.0079705,           0.0079705
                  43,            0.035886,            0.038506,            0.017435,             0.74011,             0.70868,             0.76571,             0.44488,            0.031558,             0.02033,           0.0069958,            0.007921,            0.007921,            0.007921
                  44,            0.035889,            0.039112,            0.018242,             0.75087,              0.7027,             0.77286,             0.44844,            0.031269,            0.020196,           0.0076323,           0.0078715,           0.0078715,           0.0078715
                  45,            0.035406,              0.0384,            0.017423,             0.73145,             0.71183,             0.76362,             0.44581,            0.030986,            0.020255,           0.0071113,            0.007822,            0.007822,            0.007822
                  46,            0.035361,            0.038188,            0.018054,             0.73447,             0.69751,             0.75869,             0.44196,            0.031269,            0.020394,           0.0067144,           0.0077725,           0.0077725,           0.0077725
                  47,            0.035316,            0.038204,             0.01672,             0.76673,             0.71719,             0.78526,             0.45936,            0.031059,            0.019788,           0.0065553,            0.007723,            0.007723,            0.007723
                  48,            0.035507,            0.038143,            0.016824,             0.76763,             0.72048,             0.78467,             0.45786,            0.031034,            0.020009,           0.0063512,           0.0076735,           0.0076735,           0.0076735
                  49,            0.035099,             0.03902,             0.01591,             0.74355,              0.7277,             0.78104,             0.46076,             0.03067,            0.020057,           0.0067635,            0.007624,            0.007624,            0.007624
                  50,            0.034943,            0.038219,            0.016597,             0.74518,             0.73836,             0.78476,             0.46473,            0.030774,            0.019842,           0.0066211,           0.0075745,           0.0075745,           0.0075745
                  51,            0.034902,            0.037387,            0.016505,             0.76046,             0.73506,             0.79383,             0.46852,            0.030644,            0.019673,           0.0064607,            0.007525,            0.007525,            0.007525
                  52,            0.035071,            0.037576,            0.016595,             0.76936,             0.74233,             0.80136,             0.47726,            0.030807,            0.019808,           0.0060263,           0.0074755,           0.0074755,           0.0074755
                  53,            0.034904,            0.038351,            0.015884,             0.77831,             0.73724,             0.80088,             0.47134,              0.0308,            0.019844,           0.0056117,            0.007426,            0.007426,            0.007426
                  54,            0.034481,             0.03744,             0.01524,             0.77102,             0.74858,             0.80543,             0.47741,             0.03059,            0.019437,           0.0057833,           0.0073765,           0.0073765,           0.0073765
                  55,            0.034308,            0.037003,             0.01504,             0.77146,             0.74746,             0.81143,             0.47755,            0.030582,            0.019493,           0.0058216,            0.007327,            0.007327,            0.007327
                  56,            0.034417,            0.036764,            0.015216,              0.7752,             0.75672,             0.81518,             0.48584,            0.030425,            0.019538,           0.0049151,           0.0072775,           0.0072775,           0.0072775
                  57,            0.034405,             0.03669,            0.015187,             0.78634,             0.74096,             0.81105,             0.48421,            0.030185,            0.019565,           0.0052257,            0.007228,            0.007228,            0.007228
                  58,            0.034254,            0.036961,            0.014866,              0.7703,             0.75574,             0.81292,             0.48755,             0.03021,            0.019537,           0.0051447,           0.0071785,           0.0071785,           0.0071785
                  59,            0.034061,            0.037018,            0.014311,             0.78901,              0.7586,             0.82199,             0.49379,            0.030185,            0.019277,           0.0050447,            0.007129,            0.007129,            0.007129
                  60,            0.034277,            0.036332,            0.014625,             0.78737,             0.75598,             0.82055,             0.49444,            0.030098,             0.01946,           0.0048468,           0.0070795,           0.0070795,           0.0070795
                  61,            0.033924,            0.036334,            0.013706,             0.78764,             0.75968,             0.82467,             0.49679,            0.029846,            0.019393,           0.0049289,             0.00703,             0.00703,             0.00703
                  62,            0.033823,            0.036796,            0.013478,             0.79786,             0.76231,             0.82925,             0.50378,             0.02981,            0.019258,           0.0051754,           0.0069805,           0.0069805,           0.0069805
